證券代碼,簡稱,年月日,市值(百萬元)
2028,威致         ,20131231,1285
1735,日勝化       ,20131231,1284
6235,華孚         ,20131231,1283
6117,迎廣         ,20131231,1267
2415,錩新         ,20131231,1249
1805,寶徠         ,20131231,1248
1474,弘裕         ,20131231,1244
3308,聯德         ,20131231,1234
1324,地球         ,20131231,1220
3312,弘憶股       ,20131231,1214
2424,隴華         ,20131231,1209
2413,環科         ,20131231,1192
1613,台一         ,20131231,1187
3002,歐格         ,20131231,1178
8201,無敵         ,20131231,1171
1454,台富         ,20131231,1168
3046,建碁         ,20131231,1165
5484,慧友         ,20131231,1161
3315,宣昶         ,20131231,1152
1615,大山         ,20131231,1135
1443,立益         ,20131231,1131
4414,如興         ,20131231,1130
1213,大飲         ,20131231,1091
1616,億泰         ,20131231,1091
2443,新利虹       ,20131231,1091
3043,科風         ,20131231,1085
2465,麗臺         ,20131231,1082
8033,雷虎         ,20131231,1082
6131,悠克         ,20131231,1070
1541,錩泰         ,20131231,1067
6289,華上         ,20131231,1031
2434,統懋         ,20131231,1027
6243,迅杰         ,20131231,1016
2482,連宇         ,20131231,1002
2444,友旺         ,20131231,999
3432,台端         ,20131231,994
2321,東訊         ,20131231,966
2358,美格         ,20131231,960
1435,中福         ,20131231,936
6133,金橋         ,20131231,927
3011,今皓         ,20131231,925
1441,大東         ,20131231,922
5906,F-台南       ,20131231,915
3535,晶彩科       ,20131231,907
1475,本盟         ,20131231,903
6226,光鼎         ,20131231,877
3557,嘉威         ,20131231,870
2471,資通         ,20131231,862
9935,慶豐富       ,20131231,859
2033,佳大         ,20131231,855
1413,宏洲         ,20131231,852
1418,東華         ,20131231,850
9912,偉聯         ,20131231,834
2024,志聯         ,20131231,817
1453,大將         ,20131231,812
3025,星通         ,20131231,808
2302,麗正         ,20131231,800
2468,華經         ,20131231,769
1721,三晃         ,20131231,709
2305,全友         ,20131231,709
911616,杜康         ,20131231,703
911609,揚子江       ,20131231,649
6165,捷泰         ,20131231,643
2364,倫飛         ,20131231,614
2429,銘旺科       ,20131231,601
1529,樂士         ,20131231,599
910861,神州         ,20131231,579
911612,滬安         ,20131231,579
3018,同開         ,20131231,573
1732,毛寶         ,20131231,541
1438,裕豐         ,20131231,521
1526,日馳         ,20131231,488
1449,佳和         ,20131231,483
9103,美德醫       ,20131231,482
910801,金衛         ,20131231,457
910482,聖馬丁       ,20131231,451
912398,友佳         ,20131231,409
911622,泰聚亨       ,20131231,375
911868,真明麗       ,20131231,363
6172,互億         ,20131231,315
9157,陽光能       ,20131231,312
1516,川飛         ,20131231,308
6225,天瀚         ,20131231,290
2496,卓越         ,20131231,271
9106,新焦點       ,20131231,253
